subject,method,retainedDirections,LatAz0El0,LatAz0El0_nearestAzDeg,LatAz0El0_nearestElDeg,LatAz0El0_nearestAngularErrorDeg,LatAz45El0,LatAz45El0_nearestAzDeg,LatAz45El0_nearestElDeg,LatAz45El0_nearestAngularErrorDeg,LatAz90El0,LatAz90El0_nearestAzDeg,LatAz90El0_nearestElDeg,LatAz90El0_nearestAngularErrorDeg,VertAz0El0,VertAz0El0_nearestAzDeg,VertAz0El0_nearestElDeg,VertAz0El0_nearestAngularErrorDeg,VertAz0El45,VertAz0El45_nearestAzDeg,VertAz0El45_nearestElDeg,VertAz0El45_nearestAngularErrorDeg
0141,SUpDEq-MCA,19,1.865704213503422,0.0,0.0,0.0,2.7431106477532845,45.0,0.0,0.0,4.799721175489462,90.0,0.0,0.0,4.759375982651129,0.0,0.0,0.0,2.99707042851113,0.0,45.0,0.0
0143,SUpDEq-MCA,19,1.7644355072304208,0.0,0.0,0.0,2.35728122923617,45.0,0.0,0.0,6.061979718284562,90.0,0.0,0.0,3.425219241793876,0.0,0.0,0.0,7.225583949287629,0.0,45.0,0.0
0148,SUpDEq-MCA,19,1.8644390792809302,0.0,0.0,0.0,2.4768687405891425,45.0,0.0,0.0,5.934432964201487,90.0,0.0,0.0,4.941964410194582,0.0,0.0,0.0,5.264227782009676,0.0,45.0,0.0
0149,SUpDEq-MCA,19,2.0320017460604736,0.0,0.0,0.0,2.8449388385976375,45.0,0.0,0.0,3.6917037999033058,90.0,0.0,0.0,4.603311925216204,0.0,0.0,0.0,6.458216393156517,0.0,45.0,0.0
0152,SUpDEq-MCA,19,2.365330646708526,0.0,0.0,0.0,2.583235210991823,45.0,0.0,0.0,5.864162658342519,90.0,0.0,0.0,4.760000624256657,0.0,0.0,0.0,5.178956485924708,0.0,45.0,0.0
0166,SUpDEq-MCA,19,1.8435678993400055,0.0,0.0,0.0,2.74199656421805,45.0,0.0,0.0,4.53599035487262,90.0,0.0,0.0,3.653833237985943,0.0,0.0,0.0,3.6944713208242175,0.0,45.0,0.0
0168,SUpDEq-MCA,19,1.9718874651616567,0.0,0.0,0.0,2.1640188662699735,45.0,0.0,0.0,5.609964482674827,90.0,0.0,0.0,4.157025638949551,0.0,0.0,0.0,5.1265854584523645,0.0,45.0,0.0
0169,SUpDEq-MCA,19,2.708324490909663,0.0,0.0,0.0,1.7963586963303007,45.0,0.0,0.0,3.309032569905037,90.0,0.0,0.0,3.1962683589664502,0.0,0.0,0.0,2.633259917227749,0.0,45.0,0.0
0172,SUpDEq-MCA,19,1.995009452007579,0.0,0.0,0.0,2.6124397778909283,45.0,0.0,0.0,5.771642071230883,90.0,0.0,0.0,4.8780162539479015,0.0,0.0,0.0,5.159280391777061,0.0,45.0,0.0
0173,SUpDEq-MCA,19,2.018615902858058,0.0,0.0,0.0,2.3831183201473314,45.0,0.0,0.0,2.506443202982987,90.0,0.0,0.0,4.286124092340336,0.0,0.0,0.0,3.6367240924449065,0.0,45.0,0.0
0175,SUpDEq-MCA,19,2.29560781384756,0.0,0.0,0.0,2.1336964181256963,45.0,0.0,0.0,3.0508314680560686,90.0,0.0,0.0,4.26677392860014,0.0,0.0,0.0,3.529682660331312,0.0,45.0,0.0
0179,SUpDEq-MCA,19,1.7975581626259527,0.0,0.0,0.0,2.5016688477701536,45.0,0.0,0.0,5.692980991902423,90.0,0.0,0.0,3.398647893490524,0.0,0.0,0.0,4.3930342012175405,0.0,45.0,0.0
0191,SUpDEq-MCA,19,1.672036362588961,0.0,0.0,0.0,3.060732641984296,45.0,0.0,0.0,4.43385449093701,90.0,0.0,0.0,4.315760431444518,0.0,0.0,0.0,4.570559518670029,0.0,45.0,0.0
0193,SUpDEq-MCA,19,1.615932091889416,0.0,0.0,0.0,2.876001878175071,45.0,0.0,0.0,7.96471368506704,90.0,0.0,0.0,5.420864822542059,0.0,0.0,0.0,5.023327540914561,0.0,45.0,0.0
0196,SUpDEq-MCA,19,2.172214025032429,0.0,0.0,0.0,2.491725618692014,45.0,0.0,0.0,6.332312145185732,90.0,0.0,0.0,4.891428931853505,0.0,0.0,0.0,4.067042917443342,0.0,45.0,0.0
0198,SUpDEq-MCA,19,2.0632401784584604,0.0,0.0,0.0,2.491159081000452,45.0,0.0,0.0,5.9186594267333925,90.0,0.0,0.0,3.9046843949486854,0.0,0.0,0.0,4.912334716778619,0.0,45.0,0.0
0200,SUpDEq-MCA,19,1.557029356533021,0.0,0.0,0.0,3.8551876569352572,45.0,0.0,0.0,3.990386763717035,90.0,0.0,0.0,3.8073308474644185,0.0,0.0,0.0,4.464359685590355,0.0,45.0,0.0
